"","year","basin","ace","hurr_ace","major_ace","intense_ace","named_count","hurricane_count","major_hurricane_count","intense_hurricane_count","named_avg_max_mph","named_avg_max_ms","hurricane_avg_max_mph","hurricane_avg_max_ms","major_avg_max_mph","major_avg_max_ms","intense_avg_max_mph","intense_avg_max_ms","max_wind_mph","max_wind_ms","min_pressure","max_category","max_ace"
"1",1851,"Western Atlantic",36.24,27.38,21.83,NA,6,3,1,NA,80.6666666666667,36.008,99.6666666666667,44.5813333333333,99.6666666666667,44.5813333333333,99.6666666666667,44.5813333333333,115,51.44,NA,3,21.83
"2",1852,"Western Atlantic",73.28,73.28,26.36,NA,5,5,1,NA,94.6,42.1808,94.6,42.1808,94.6,42.1808,94.6,42.1808,115,51.44,961,3,26.36
"3",1853,"Western Atlantic",76.49,75.58,56.68,45.06,8,4,2,1,83.75,37.294,112.5,50.154,112.5,50.154,112.5,50.154,150,66.872,924,4,45.06
"4",1854,"Western Atlantic",31,26.98,17.58,NA,5,3,1,NA,90,40.1232,104,46.296,104,46.296,104,46.296,127,56.584,938,3,17.58
"5",1855,"Western Atlantic",18.12,13.42,7.26,NA,5,4,1,NA,97,43.2096,104,46.296,104,46.296,104,46.296,127,56.584,997,3,7.26
"6",1856,"Western Atlantic",48.94,45.94,34.48,11.75,6,4,2,1,90.5,40.2946666666667,106.75,47.582,106.75,47.582,106.75,47.582,150,66.872,934,4,22.73
"7",1857,"Western Atlantic",46.84,44.84,NA,NA,4,3,NA,NA,86.75,38.58,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,104,46.296,961,2,22.36
"8",1858,"Western Atlantic",44.79,44.79,NA,NA,6,6,NA,NA,92.3333333333333,41.152,92.3333333333333,41.152,92.3333333333333,41.152,92.3333333333333,41.152,104,46.296,979,2,18.84
"9",1859,"Western Atlantic",55.73,52.64,19.56,NA,8,7,1,NA,95.25,42.438,99,44.0914285714286,99,44.0914285714286,99,44.0914285714286,127,56.584,938,3,19.56
"10",1860,"Western Atlantic",62.06,57.32,15.54,NA,7,6,1,NA,99,44.0914285714286,104,46.296,104,46.296,104,46.296,127,56.584,NA,3,16.29
"11",1861,"Western Atlantic",49.71,44.14,NA,NA,8,6,NA,NA,83.75,37.294,90.5,40.2946666666667,90.5,40.2946666666667,90.5,40.2946666666667,104,46.296,999,2,16.72
"12",1862,"Western Atlantic",46.03,38.36,NA,NA,6,3,NA,NA,79,35.1506666666667,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,104,46.296,NA,2,23.44
"13",1863,"Western Atlantic",50.35,42.29,NA,NA,9,5,NA,NA,83.4444444444444,37.1511111111111,99.4,44.2384,99.4,44.2384,99.4,44.2384,104,46.296,975,2,13.94
"14",1864,"Western Atlantic",26.55,22.19,NA,NA,5,3,NA,NA,74,32.9216,81,36.008,81,36.008,81,36.008,81,36.008,NA,1,12.17
"15",1865,"Western Atlantic",49.13,42.17,NA,NA,7,3,NA,NA,77.5714285714286,34.5382857142857,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,96.3333333333333,42.8666666666667,104,46.296,975,2,26.98
"16",1866,"Western Atlantic",83.65,82.43,40.86,40.86,7,6,1,1,97.2857142857143,43.3565714285714,102,45.4386666666667,102,45.4386666666667,102,45.4386666666667,138,61.728,938,4,40.86
"17",1867,"Western Atlantic",59.97,59.56,8.98,NA,9,7,1,NA,89.8888888888889,40.0088888888889,100.714285714286,44.8262857142857,100.714285714286,44.8262857142857,100.714285714286,44.8262857142857,127,56.584,952,3,17.48
"18",1868,"Western Atlantic",34.65,34.65,NA,NA,4,4,NA,NA,98.25,43.724,98.25,43.724,98.25,43.724,98.25,43.724,104,46.296,NA,2,11
"19",1869,"Western Atlantic",51.02,47.97,8.13,NA,10,7,1,NA,88.9,39.6088,99,44.0914285714286,99,44.0914285714286,99,44.0914285714286,115,51.44,950,3,20.93
"20",1870,"Western Atlantic",87.8,83.5,40.22,NA,11,10,2,NA,94.4545454545455,42.0872727272727,97,43.2096,97,43.2096,97,43.2096,127,56.584,948,3,25.88
"21",1871,"Western Atlantic",88.39,82.65,46.38,NA,8,6,2,NA,86.625,38.58,96.1666666666667,42.8666666666667,96.1666666666667,42.8666666666667,96.1666666666667,42.8666666666667,115,51.44,952,3,25.38
